type,title,original_title,year,tvdb_id,tmdb_id,favorite,list_status,added_at,for_later_at,stopped_watching_at,hidden_at
show,THE GHOST IN THE SHELL,攻殻機動隊 THE GHOST IN THE SHELL,2026,450475,255358,no,watching,2026-09-07T14:21:35.316Z,,,
movie,The Sixth Sense,The Sixth Sense,1999,,745,no,following,2026-09-04T09:12:20.409Z,,,
movie,Coherence,Coherence,2014,,220289,no,following,2026-09-03T16:44:38.555Z,,,
show,The Traitors (IN),"द ट्रेटर्स ",2025,465265,271489,no,watching,2026-08-28T20:02:21.632Z,,,
show,Gyaarah Gyaarah,ग्यारह ग्यारह,2024,453105,259688,no,watching,2026-08-15T21:34:43.643Z,,,
show,Adarsh Baal Vidyalaya,आदर्श बाल विद्यालय,2026,475850,328402,no,watching,2026-08-15T20:27:40.684Z,,,
show,Smoking Behind the Supermarket with You,スーパーの裏でヤニ吸うふたり,2026,465973,296286,no,watching,2026-08-13T18:47:48.508Z,,,
show,Operation Safed Sagar: The Highest Air Force Mission,ऑपरेशन सफेद सागर,2026,470264,284753,no,watching,2026-08-10T16:52:04.688Z,,,
show,Musafir Cafe,मुसाफ़िर कैफ़े,2026,473537,313101,no,watching,2026-08-10T16:51:06.311Z,,,
movie,Troy,Troy,2004,,652,no,following,2026-08-07T21:08:00.928Z,,,
movie,The Odyssey,The Odyssey,2026,,1368337,no,following,2026-08-07T21:07:41.634Z,,,
movie,Spider-Man: Brand New Day,Spider-Man: Brand New Day,2026,,969681,no,following,2026-08-07T21:07:25.644Z,,,
show,Criminal Justice (2019),Criminal Justice,2019,362049,88177,no,watching,2026-08-05T20:30:43.450Z,,,
show,Shekhar Home,शेखर होम,2024,452815,260203,no,watching,2026-08-04T16:43:24.956Z,,,
show,Gram Chikitsalay,ग्राम चिकित्सालय,2025,463249,290138,no,watching,2026-08-04T16:20:50.440Z,,,
show,Pritam and Pedro,प्रीतम पेड्रो,2026,479288,243206,no,watching,2026-08-04T16:20:25.021Z,,,
movie,Weapons,Weapons,2025,,1078605,no,following,2026-06-13T07:49:59.000Z,,,
movie,Hoppers,Hoppers,2026,,1327819,no,following,2026-06-12T19:59:36.000Z,,,
movie,Backrooms,Backrooms,2026,,1083381,no,for_later,2026-06-02T17:19:59.000Z,2026-06-02T17:19:59.000Z,,
movie,Obsession,Obsession,2026,,1339713,no,for_later,2026-06-02T17:18:19.000Z,2026-06-02T17:18:19.000Z,,
movie,Hokum,Hokum,2026,,1430077,no,for_later,2026-06-02T17:17:46.000Z,2026-06-02T17:17:46.000Z,,
show,Dexter,Dexter,2006,79349,1405,no,watching,2026-06-01T13:03:54.000Z,,,
show,Gordon Ramsay's 24 Hours to Hell & Back,Gordon Ramsay's 24 Hours to Hell & Back,2018,338893,79679,no,watching,2026-06-01T13:03:24.000Z,,,
show,Game of Thrones,Game of Thrones,2011,121361,1399,no,watching,2026-05-19T14:32:22.000Z,,,
show,Sapne Vs Everyone,Sapne Vs Everyone,2023,443065,240983,no,watching,2026-05-17T15:14:17.000Z,,,
show,Daemons of the Shadow Realm,黄泉のツガイ,2026,452711,260463,no,watching,2026-04-14T19:04:03.000Z,,,
show,Witch Hat Atelier,とんがり帽子のアトリエ,2026,418666,196950,no,watching,2026-04-09T16:00:38.000Z,,,
movie,Dhurandhar: The Revenge,धुरंधर: द रिवेंज,2026,,1582770,no,following,2026-04-09T15:58:41.000Z,,,
movie,Project Hail Mary,Project Hail Mary,2026,,687163,no,following,2026-04-09T15:58:25.000Z,,,
show,Maamla Legal Hai,मामला लीगल है,2024,446244,246483,no,watching,2026-04-04T19:02:09.000Z,,,
show,The Pitt,The Pitt,2025,448176,250307,no,watching,2026-03-27T07:56:44.000Z,,,
show,The Mentalist,The Mentalist,2008,82459,5920,no,watching,2026-03-10T20:05:46.000Z,,,
show,Fate/strange Fake,Fate/strange Fake,2026,436779,229858,no,watching,2026-03-09T18:18:09.000Z,,,
show,Clarkson's Farm,Clarkson's Farm,2021,378165,117648,no,watching,2026-03-04T09:21:58.000Z,,,
show,Succession,Succession,2018,338186,76331,no,watching,2026-02-21T00:30:06.000Z,,,
show,Ozark,Ozark,2017,329089,69740,no,watching,2026-01-27T10:16:07.000Z,,,
movie,The Imitation Game,The Imitation Game,2014,,205596,no,following,2026-01-23T11:56:23.000Z,,,
show,Sentenced to Be a Hero,勇者刑に処す 懲罰勇者9004隊刑務記録,2026,437266,249907,no,watching,2026-01-07T12:00:16.000Z,,,
show,Wistoria: Wand and Sword,杖と剣のウィストリア,2024,445829,245842,no,watching,2026-01-05T12:20:13.000Z,,,
movie,Minority Report,Minority Report,2002,,180,no,following,2025-12-30T20:11:08.000Z,,,
movie,Fargo,Fargo,1996,,275,no,following,2025-12-30T20:10:55.000Z,,,
movie,Knives Out,Knives Out,2019,,546554,no,following,2025-12-30T20:01:41.000Z,,,
movie,Gravity,Gravity,2013,,49047,no,following,2025-12-30T19:06:47.000Z,,,
movie,Insomnia,Insomnia,2002,,320,no,for_later,2025-12-29T17:14:08.000Z,2025-12-29T17:14:08.000Z,,
show,Black Clover,ブラッククローバー,2017,331753,73223,no,watching,2025-12-26T14:35:08.000Z,,,
movie,Dhurandhar,धुरंधर,2025,,1291608,no,following,2025-12-26T14:33:01.000Z,,,
movie,The Great Flood,대홍수,2025,,982843,no,following,2025-12-26T14:25:19.000Z,,,
movie,Raat Akeli Hai - The Bansal Murders,रात अकेली है - द बंसल मर्डर्स,2025,,1415974,no,following,2025-12-25T20:59:00.000Z,,,
movie,Raat Akeli Hai,रात अकेली है,2020,,589615,no,following,2025-12-25T20:58:55.000Z,,,
movie,The Theory of Everything,The Theory of Everything,2014,,266856,no,following,2025-12-25T13:29:07.000Z,,,
movie,Lucy,Lucy,2014,,240832,no,following,2025-12-25T11:16:02.000Z,,,
movie,The Devil Wears Prada,The Devil Wears Prada,2006,,350,no,following,2025-12-24T16:46:24.000Z,,,
movie,The Truman Show,The Truman Show,1998,,37165,no,following,2025-12-24T16:39:29.000Z,,,
movie,The Great Gatsby,The Great Gatsby,2013,,64682,no,following,2025-12-23T15:36:41.000Z,,,
movie,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1,2010,,12444,no,following,2025-12-23T13:52:21.000Z,,,
movie,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,2009,,767,no,following,2025-12-23T13:52:19.000Z,,,
movie,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,2011,,12445,no,following,2025-12-23T13:52:13.000Z,,,
movie,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,2011,,65754,no,following,2025-12-23T13:52:01.000Z,,,
movie,Kung Fu Panda 3,Kung Fu Panda 3,2016,,140300,no,following,2025-12-23T06:22:39.000Z,,,
movie,Annabelle Comes Home,Annabelle Comes Home,2019,,521029,no,following,2025-12-23T06:22:33.000Z,,,
movie,Everything Everywhere All at Once,Everything Everywhere All at Once,2022,,545611,no,following,2025-12-23T06:21:12.000Z,,,
movie,Passengers,Passengers,2016,,274870,no,following,2025-12-23T06:20:45.000Z,,,
movie,The Suicide Squad,The Suicide Squad,2021,,436969,no,following,2025-12-23T06:19:52.000Z,,,
movie,Extraction,Extraction,2020,,545609,no,following,2025-12-23T06:19:44.000Z,,,
movie,Free Guy,Free Guy,2021,,550988,no,following,2025-12-23T06:19:38.000Z,,,
movie,Ready Player One,Ready Player One,2018,,333339,no,following,2025-12-23T06:18:37.000Z,,,
movie,John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,2019,,458156,no,following,2025-12-23T06:17:41.000Z,,,
movie,John Wick: Chapter 2,John Wick: Chapter 2,2017,,324552,no,following,2025-12-23T06:17:38.000Z,,,
movie,John Wick,John Wick,2014,,245891,no,following,2025-12-23T06:17:24.000Z,,,
